Title,Location,Company,Salary,Summary
Junior Wastewater Engineer,"Bend, OR",Murraysmith,None,"Planning and designing improvements to water, wastewater, and stormwater systems.Assisting with developing construction plans, specifications, and estimates."
Environmental Science / Engineering Officer,United States,U.S. Army,None,"You’ll supervise the scientific research for environmental health and industrial hygiene, assess weapons, equipment, clothing, and material systems, and develop…"
Civil / Environmental Engineer,"Fishkill, NY 12524","Kleinfelder, Inc.",None,"Civil design for solar arrays, battery storage sites, and electric/gas lines.Stormwater, Erosion & Sediment design and permitting."
"Instrumentation and Controls Engineer, Mid Level","Littleton, CO 80127",Carollo Engineers Inc.,"$73,000 - $96,000 a year","Meets with clients for design-related workshops, including instrument preferences, HMI graphics design and standard development."
Hydraulic Engineer,"Denver, CO 80202 (Lodo area)","Gannett Fleming, Inc.","$59,000 - $118,000 a year","Perform analysis and design and develop repair or replacement alternatives for electric motor, hydraulic, and manually actuated hoist and operating equipment."
"Environmental, Health & Safety Manager (2021-011)","Kirkland, WA 98034",Astronics,None,Traditional office and manufacturing environmental conditions.Should possess a good working knowledge of state and federal OSHA regulations and L&I standards.
MEP Project Engineer,"Coney Island, NY",MLJ Contracting,None,Process/manage material deliveries – ensure that materials received are properly inspected for quantity and quality and are in compliance with contract…
Project Engineer I,"Washington, DC 20001 (Chinatown area)",Timmons Group,None,Work to complete design details and plan sets.Communicate with client staff and internal design team as directed by senior engineering staff.
Sr Environmental Engineer,"Chandler, AZ 85224",Rogers Corporation,None,"Implements and monitors environmental programs to ensure compliance to environmental standard and to meet corporation objectives.Travel: Yes, 25 % of the Time."
SCADA Engineer V (Appointed),"Gwinnett County, GA",Gwinnett County,"$80,179 - $108,241 a year",This class is responsible for complex engineering design work.This position will oversee activities such as design and development of special projects.
"Associate Engineer - CT, NY, MA","Cheshire, CT 06410",The Lane Construction Corporation,None,"Resolve onsite conflicts between design plans and onsite conditions, clarify contract documents as potential complications arise."
"Water Resources, Drainage EIT","Houston, TX",Hoskin Ryan,None,Produce drainage design and construction drawings using AutoCAD and Microstation with information obtained from research activities.
Wastewater Engineer,Pennsylvania,TheMasonGroup,None,"Functioning as the engineering lead for certain aspects of projects including prep of design plans, specs, and reports.Prepare proposals and cost analysis."
Evironmental Engineer - Air Quality & Emmissions,"Whitehall Township, PA 18052",Pace,None,"Perform environmental compliance audits and implement follow-up corrective actions to ensure compliance with federal, state, and local regulations."
Environmental Due Diligence/ESG Consultant (Associate Level),"New Orleans, LA",ERM Group,None,"Preferable to have 1 to 5 years of experience in environmental consulting, working on environmental due diligence projects."
"Research Engineer, Simulation (Montgomery, AL or Atlanta, GA...","Montgomery, AL 36109",Rheem Manufacturing,None,"The position serves as a shared technology resource among Rheem’s Water Heating Divisions (WHD).As a shared role, this research position supports technology…"
Environmental Project Manager,"Manassas, VA 20110","Apex Companies, LLC",None,"Stormwater and environmental compliance experience is a plus.Manage a diverse portfolio of environmental projects (IH, Environmental, and Stormwater)."
Civil & Mechanical Engineer,"Los Angeles, CA","LEE & RO, Inc.",None,"0-2+ years of experience in planning, engineering, design, project management of public water infrastructure projects."
Civil or Environmental Engineering EIT,"Thousand Oaks, CA",Stantec,None,"The position will support environmental site assessments and remediation; sampling programs; remedial evaluation, design, and monitoring activities;…"
Water Supply and Wastewater Engineer,"New Hyde Park, NY 11040",M&J Engineering,None,"(M&J) is hiring Water Supply and Wastewater Engineers for design of water distribution and treatment, sewer, and sanitary systems, pumping station projects for…"
Chemical and Environmental Engineering/Environmental Science...,"Riverside, CA",Association of Environmental Engineering and Scien...,None,"It has several scientists with expertise in various areas, including microbiology, environmental chemistry, plant physiology and biochemistry, molecular…"
Staff Engineer,"Norcross, GA 30071",Cape Environmental Management Inc.,"$60,000 - $70,000 a year","With increased experience, this engineer will also participate in design and technical support for local and company projects and proposals."
Environmental Coordinator,"Spring City, TN",Huber Engineered Woods,None,"Provide plant-wide safety support for design, utilization and operational issues relating to the Spring City facility and the division-wide support relating to…"
Assistant/Associate Civil Engineer,"Hayward, CA 94541",City of Hayward,"$116,189 - $141,045 a year",Associate Civil Engineer – This classification performs more difficult and complex engineering design work on private development and public works projects; and…
Environmental & analytical chemistry,"Binghamton, NY",Association of Environmental Engineering and Scien...,None,"The research in the group focuses on using advanced analytical tools and innovative materials to understand and protect our living and natural environments,…"
ENVIRONMENTAL/LEGIONELLA COMPLIANCE ENGINEER - NYC/NJ,"New York, NY","Barclay Water Management, Inc.",None,Assist local Barclay field engineers with identifying potential new opportunities within existing accounts.Barclay provides environmental consulting services…
Project Engineer,"Freedom, PA 15042",Xylem,None,The Project Engineer will support the team by am by assisting with the design and execution of the as sold scope of supply for specification driven projects.
ENGINEERING: CIVIL AND ENVIRONMENTAL INSTRUCTOR,"Sarasota, FL 34230",Keiser University,None,"Everglades University is an accredited, private not-for-profit university offering bachelor's and master's degree programs that prepare students to advance in…"
Engineer I-Stormwater Management,"Lubbock, TX 79401",Freese & Nichols Inc,None,Applicant must be willing to interface with clients and develop strong working relationships through project interaction.
"Entry-Level Water Engineer - Wexford, PA","Wexford, PA",Arcadis,None,"Evaluate, plan, design and support management of projects for water/wastewater/ stormwater treatment and conveyance (pipelines and pumping facilities)."
Environmental Engineer,"Smyrna, TN 37167",Thomas & Hutton,None,"The position requires a strong understanding of civil design with previous experience working with site design as well as water, sewer, and storm drainage…"
Environmental Consultant,"San Jose, CA",BSI,None,"BS/MS in environmental/civil/chemical engineering, sustainability, environmental studies, or related science degree."
Advanced ADTS Engineer,"Englewood, CO",Avient,None,"Provide part design, tool design, process design theory and recommendations.Create product part or mold design and processing/troubleshooting literature for…"
Civil Environmental Engineer,"St. Louis, MO 63147 (North Riverfront area)","HydroGeoLogic, Inc",None,"Ability to work independently and develop design drawings from conceptual models required;Development of engineering studies, plans, designs and specifications…"
Environmental Program Supervisor,"Gainesville, FL 32601",Alachua County Board of County Commissioners,"From $74,506 a year","Thorough knowledge of local ordinances, state laws and federal regulations governing environmental issues.Bachelor's degree in environmental or natural science…"
SUPERVISING ENVIRONMENTAL ENGINEERING SPECIALIST,"Los Angeles County, CA",Los Angeles County Department of Human Resources,"$97,552 - $124,523 a year",Experience at the level of Senior Environmental Engineering Specialist is defined by: lead worker to lower-level environmental classes and conducts the more…
Mid-Level Environmental Remediation Engineer,"Portland, ME",Wood Plc,None,"The position will involve environmental remediation including, but not limited to remedial design of treatment systems, report preparation, support for water…"
Mid-Level Environmental Planner / Analyst,"Oakland, CA 94612",Dudek,None,"Bachelor’s degree in environmental studies, environmental science, geography, environmental planning, or a related field."
Engineer,"Washington, DC 20003 (Navy Yard area)","Orbis, Inc.",None,"Experience applying engineering disciplines to technically support development of new and existing Naval capabilities and systems, develop significant…"
Environmental Scientist or Engineer,"Boston, MA",National Older Worker Career Center,"$28,080 a year",SEE will participate in on-site inspect of facilities which utilizes toxic & hazardous substance.Minimum of 10 year(s) of experience in chemical related…
Environmental/Civil Engineer,"Horsham, PA 19044",Anchor QEA,None,"Understanding of the application of engineering principles to engineering design, including cost estimating, development of plans and specifications,…"
Civil Engineer,"Seattle, WA 98119 (Uptown area)",UrbanTech Systems,None,"Function as a technical specialist or design lead on mid-sized projects.Coordinate and lead other design professionals, including engineering, CAD, and…"
Environmental Engineering and Science,"Columbia, MO",Association of Environmental Engineering and Scien...,None,"The candidate should have a Ph.D. degree in environmental engineering science, ecology, aquatic biology, fisheries or related fields."
Entry-Level/ Junior Water Engineer,"Houston, TX",Arcadis,None,"Assess, develop, and support the management of sustainability and resilience projects including vulnerability and mitigation assessments, and planning and…"
Experienced Environmental Specialist,"Chicago, IL 60603 (The Loop area)",Sargent & Lundy,None,Work with project engineers to ensure projects are designed and developed using criteria that recognize all relevant environmental requirements.
Environmental Engineer,"Milwaukee, WI 53202 (Historic Third Ward area)",Arcadis,None,"This full-time, entry-level position within our Remediation group will be involved in various activities in support of diverse environmental assessment and…"
Environmental Engineer (Water / Solid Waste),"Addyston, OH",Ineos Styrolution,None,Update information for public advisory group meetings on the site’s environmental performance.The Environmental Engineer (Water / Solid Waste) is responsible…
Water and Wastewater Engineer,"Knoxville, TN 37929 (Downtown area)",Hazen and Sawyer,None,This position will involve working closely with a design team from initial studies and conceptual design through construction.
Water Resources Designer,"Cary, NC 27511",Draper Aden Assoc.,"$46,000 - $52,000 a year","Projects will consist of stormwater management and design, hydrologic and hydraulic analysis, dam safety and dam design, floodplain management, and post…"
Project Engineer (Entry / Junior Level),California,BDP EnviroTech,None,"Excellent technical writing skills in order to develop and write reports, business correspondence, and process and procedure flowcharts and manuals."
Environmental Project Manager,"Seattle, WA",Kennedy/Jenks Consultants,None,What you’ll be doing: You will serve as a project manager and technical lead on projects requiring a wide range of services such as site characterization and…
Senior Engineer,"Chino, CA 91708",Inland Empire Utilities Agency,"$125,169 - $152,506 a year",Administers the design and preparation of major capital projects utilizing consulting engineering firms or in-house staff; prepares cost estimates; authorizes…
Water/Wastewater Engineer - Entry Level,"Richmond, VA 23235 (Stony Point area)","Whitman, Requardt & Associates, LLP",None,"B.S.C.E with 0-2 years of water / wastewater design experience.Understanding of or experience designing water and wastewater facilities including pipelines,…"
Environmental Science Specialist 1-2 - UST Inspector,"Phoenix, AZ 85007 (Central City area)",AZ Dept of Environmental Quality,"$40,000 - $55,000 a year","Bachelor’s degree in environmental/chemical engineering, environmental sciences/studies/management, sustainability, law or earth science."
"Electromagnetic Environmental Effects Engineer, Senior","Hawthorne, CA 90250 (North Hawthorne area)",SpaceX,None,"Knowledge of electromagnetic environmental effects on space vehicles and launch vehicles, including, effects of space plasma, on-orbit charging, triboelectric…"
Agricultural Engineer,"Des Moines, IA 50309 (East Village area)","LT Leon Associates, Inc.","Up to $80,000 a year",The Agricultural Engineer will be responsible for providing technical guidance and the overall planning and design of the agricultural engineering phases of…
Water Resource Engineer,United States,"Shumaker Consulting Engineering & Land Surveying,...",None,"Support civil design, stream restoration, and other water resources design projects.Work with a team of water resources engineers and environmental scientists."
"Postdoctoral Associate, Civil & Environmental Engineering","Ithaca, NY 14853",Cornell University,None,"The contributions are expected to be both theoretical and practical in nature, developing new methodologies and implementing them using real-world data from our…"
Water Resources Scientist / Engineer,"Columbia, SC",Wood Plc,None,"Work with a team of water resources engineers and environmental scientists.B.S. in environmental science, civil or environmental engineering, geology or a…"
"Postdoctoral Associate, Civil & Environmental Engineering","Ithaca, NY 14853",Cornell University,None,"The contributions are expected to be both theoretical and practical in nature, developing new methodologies and implementing them using real-world data from our…"
Water Resources Scientist / Engineer,"Columbia, SC",Wood Plc,None,"Work with a team of water resources engineers and environmental scientists.B.S. in environmental science, civil or environmental engineering, geology or a…"
Hydraulic Transient Engineer,"Pasadena, CA 91101 (South area)",Northwest Hydraulic Consultants,None,The primary responsibilities of the position will be to perform hydraulic transient/pressure surge analyses and develop surge control recommendations for the…
Engineering PM-Water/Wastewater,"Seattle, WA",Tetra Tech,None,"Perform engineering interpretation of specifications and drawings, recommending and documenting design modifications, and coordinating with the design team;"
Environmental Water Project Engineer,California,PACE,None,"PACE is seeking a Civil/Environmental Project Engineer with 5 – 10 years of experience focused in the planning, design, and permitting of sustainable water…"
Sr. Process Engineer-Wastewater/Chemical/Power,"Madison, WI 53705",Century Global Executive Search LLC,"$120,000 a year","This office performs project development, detailed design, and project implementation of the wastewater treatment systems.A valid driver’s license is required."
Environmental Engineer,"Lansing, MI 48906",PM Environmental,None,"These include development of workplans for site investigation and remedial investigations, design and implementation of remediation strategies and those…"
Civil Environmental Engineer,"Philadelphia, PA",The Talent State,"$70,000 - $100,000 a year",Environmental remediation: 5 years (Required).Minimum of five years’ experience in environmental remediation and civil construction projects.
Environmental Engineer,"Newington, NH 03801",Georgia-Pacific,None,"Be knowledgeable in environmental regulations (federal, state and local) applicable to the facility and assess compliance, procedural and financial impacts to…"
Stream Restoration Specialist/Engineer,"Laurel, MD 20707",Stantec,None,3 years environmental engineering or science experience including specialized experience with stream assessments and stream restoration design.
Global Sustainability Engineer,"Abbott Park, IL",Abbott Laboratories,None,"This position would be a liaison between the site, division and corporate engineering and facilities groups to develop and implement actions to improve CO2,…"
Entry-Level Structural Engineer,"Salisbury, MD",GMB,None,"; design calculations; preparation of construction plans and specifications; supporting documentation; and coordination with CADD staff, civil engineers and…"
Vadose Zone Scientist/Engineer for Water Quality,"Lincoln, NE",University of Nebraska,None,"Experience in course design, development, and management.The incumbent will provide leadership in teaching and/or team-teaching to deliver courses and…"
Entry Level Civil Engineer,"Clifton Park, NY 12065",Environmental Design Partnership,None,Resolving design and construction issues.The successful candidate will have a demonstrated interest in civil and environmental engineering and land planning.
Engineering - Staff Engineer,"Austin, TX",Manhard Consulting Ltd.,None,"Technical tasks include but not limited to conceptual site layout, utility design; roadway design; site grading design; storm drain design; storm water…"
Environmental Scientist/Geologist/Engineer,"Mobile, AL 36602 (Central Business District area)",Arcadis,None,Assisting with environmental remedial system and in-situ technology treatment design and assessments.Experience performing work in accordance with standard…
Senior Environmental Engineer,"Tampa, FL",Southshore Environmental,None,Strong grasp of federal and state environmental regulations specific to the power generation sector.Perform environmental compliance assessments and implement…
Senior-Level Geologist or Environmental Engineer/Scientist,"Oakland, CA",GSI Environmental,None,"Extensive experience overseeing environmental drilling programs and sampling environmental media.In addition, the ideal candidate will possess strong…"
Engineer - Infrastructure,"Davis, CA",West Yost & Associates Inc,None,"Prepare design drawings, plans, sections, details, and profiles/sections within the Autodesk Civil 3D and AutoCAD MEP.2 years of relevant experience."
Environmental Specialist,"Wallops Island, VA","Resource Management Concepts, Inc.",None,"Relevant experience: NEPA preparation and inspection, EPA and OSHA regulations, HAZWASTE program, Fuel Tank inspections, project management, and excellent oral…"
Senior Environmental Engineer,"Novato, CA 94945",PES Environmental,None,"Remediation system design/operation (particularly soil vapor extraction and vapor mitigation systems),.A BS in Civil or Chemical Engineering or equivalent…"
Wastewater/Septic Engineer,"Township of Warren, NJ",Whitestone Associates,None,Position includes site evaluation for suitability of on-site wastewater treatment systems; evaluation of seasonal high groundwater and pertinent laboratory…
"Environmental Scientist, Geologist, or Environmental Enginee...","Pittsburgh, PA","Langan Engineering and Environmental Services, Inc...",None,Knowledge of Pennsylvania environmental regulations required;3 to 6 years of prior related environmental experience;
Stream Restoration Engineer,"Gainesville, FL",Wood Plc,None,"In this position, you will design and analyze engineering projects, manage tasks, and develop new business opportunities.Experience in a consulting practice."
Environmental Project Engineer,"Richmond, VA 23231",Carlson Environmental Consultants,None,"As new projects begin the individual will be required to manage and maintain contact with clients, manage schedules, and help manage staff engineers."
Restoration Designer Engineer,"Pittsburgh, PA 15219 (Southside Flats area)",Resource Environmental Solutions LLC,None,"The desired candidate’s responsibilities would include, but are not limited to performing all aspects of fieldwork, writing technical reports, collecting and…"
Resident Engineer,"San Francisco, CA 94102 (Van Ness - Civic Center area)",The Thier Group LLC,$66 - $70 an hour,"Interfaces with the Engineer of Record (EOR) for design support during construction and reviews technical submittals, request for information (RFI) and change…"
Associate VP/LSP/Senior Engineer - MA,"Moretown, VT",Wilcox & Barton,None,"Skills: MS Word, MS Excel, AutoCAD, technical writing, attention to detail, self-motivated and able to manage a team and client relationships."
Engineer,"McLean, VA",Solv,None,"Candidates with at least a Master of Science degree in civil engineering, chemical engineering, environmental engineering, or equivalent and 0 to 15 years of…"
Project Engineer Assistant,"Raleigh, NC 27603 (Hillsborough area)",The Wooten Company,None,The ideal candidate will have a civil or environmental engineering education and a strong interest in civil site design projects.
Civil or Environmental Engineer,"Clifton Park, NY 12065",Arcadis,None,"Engineering design for remediation systems, including soil, groundwater, and soil vapor intrusion remedial system and in-situ technology treatment design and…"
EHS Engineer,"Molalla, OR 97038",Brentwood Acquisition Corporation,None,"Respond to questions regarding safety and environmental issues.Coordinate regular plant safety, environmental and housekeeping audits."
"ENTRY LEVEL AIR QUALITY CONSULTANT, STAFF SCIENTIST, OR ENGI...","Gardner, MA 01440",DSG Solutions,None,"DSG Solutions, LLC (DSG Solutions) is an expanding environmental consulting firm that specializes in assisting power and steam facilities manage their air…"
"Water Resources Planning Engineer - Tampa, FL","Tampa, FL 33607",Black & Veatch Corporation,None,"Support hydrologic and hydraulic modeling, planning and design of stormwater and wet weather improvements, including open channels, hydrologic restoration,…"
Entry Level Water Resources Engineer,"Philadelphia, PA 19106 (Society Hill area)",AKRF,None,"Performing engineering design including site grading, structure and BMP sizing, layout, and conveyance.Prior experience designing water resources projects…"
Staff Engineer,"Pleasanton, CA 94566",SCS Engineers,None,Landfill design and/or landfill gas system design or operations.This position includes opportunities for a range of engineering projects in the environmental…
Staff Geotechnical Engineer,"Los Angeles, CA 90013","Geosyntec Consultants, Inc.",None,"As a Staff Geotechnical Engineer in Los Angeles, Pasadena, Long Beach or Culver City, California you will have the opportunity to apply your academic knowledge…"
"Environmental - Geologist, Scientist or Engineer (Mid-Level)","Novi, MI 48375",Antea Group,None,"Experience in one or more areas; drilling, environmental media sample collection, evaluation and implementation of remedial technologies, groundwater modeling,…"
Environmental & Energy Specialist,"New Holland, PA",CNH Industrial,None,"Conducts environmental and energy audits, and investigations to ensure compliance with local, state, and federal environmental laws, standards and regulations."
Environmental Compliance Water Specialist,"Sacramento, CA",Teichert Construction,None,"Perform environmental compliance audits at various plant and facility sites to ensure environmental conformity with local, state and federal ordinances and…"
Environment and Health - Senior Environmental Engineer,"Milwaukee, WI",Rambøll,None,"Lead, collaborate with, and support interdisciplinary engineering design teams to develop and implement multi-discipline solutions for soil, groundwater,…"
Principal / Senior Environmental Engineers,"Morris County, NJ",E2 Project Management,None,"Project management skills in site investigations, remedial design, remediation and operation of remedial systems, etc."
Civil and Environmental Engineers,"Greensboro, NC 27407",CriTek Engineering Group,None,Requirements: A minimum 2-5 years experience with EIT or PE required.
Sr. Environmental Engineer/Scientist,"Boston, MA 02108 (Back Bay-Beacon Hill area)",Gradient,None,"Requires demonstrated experience with fate and transport modeling, highly critical and creative data analysis, development of risk-based remediation strategies,…"
Environmental Specialist (Hazardous Waste),"Alachua County, FL","Alachua County, FL","$39,666 a year","Knowledge of local, state and federal rules, regulations and ordinances related to environmental protection.Knowledge of codes, laws and environmental program…"
Civil Engineer (Entry Level) - Hatfield PA,"Hatfield, PA",Penn E&R,None,"The Engineer will have the opportunity to perform a wide range of tasks including design of appropriate erosion and sediment control best management practices,…"
Environmental compliance manager,"Federal Way, WA",Mott MacDonald,None,"The initial assignment is in the Federal Way Link Extension project field office, working in a diverse team of professionals for a major design-build transit…"
Process / Application Engineer - Water Treatment,"Golden, CO 80403",Silver Bullet Water Treatment,"$70,000 - $100,000 a year",Sales Support: Work with sales to design project specific treatment solutions that meet or exceed the needs of our customers.Paid time off and holidays.
Engineer Technician,"Reno, NV",Cardno,None,Basic design efforts working under the direction of more senior staff.Cardno is seeking Staff Engineers and Scientists with a positive outlook and passion to…
Environmental Engineer,"Elmendorf AFB, AK",US Department of the Air Force,"$30,113 - $71,764 a year","Examples of specialized experience performing such duties as participating in design work for new construction, renovations, and improvements to real property…"
Facilities Process Engineer,"Marcy, NY",Cree Inc,None,"To develop design criteria, project scopes, schedules, and funding requests to successfully define and deliver projects."
Senior Hydraulic Engineer - Dams,"Denver, CO 80202 (Lodo area)","Gannett Fleming, Inc.","$76,000 - $180,000 a year","Perform analysis and design and develop repair or replacement alternatives for electric motor, hydraulic, and manually actuated hoist and operating equipment."
ENVIRONMENTAL COMPLIANCE COORDINATOR,"Billings, MT 59101","City of Billings, MT",$32.52 - $37.62 an hour,Essential duties and responsibilities include but are not limited to: ensure environmental compliance with state and federal regulations; participate in the…
Construction Engineer,"Saint Charles, IL 60174",WBK,$25 - $40 an hour,The position will support the design efforts of our Municipal practice group as well as other practice groups as workload dictates.
Senior I&C Engineer,"Salt Lake City, UT",Brown and Caldwell,"$98,000 - $146,000 a year","Minimum of 12 years of experience as an instrumentation and control design engineer or an industrial automation systems programming engineer for government,…"
Environmental Engineers,"Syosset, NY 11791",LKB Consulting Engineers,None,"Primary design and client contact experience in landfill expansion, capping and closure projects, municipal solid waste transfer station design and permitting,…"
Professional Engineer – Environmental Consultant,"Chicago, IL",RPS Group,None,Understanding of the design and installation vapor mitigation systems to address vapor intrusion exposure risk.5 to 15% travel should be expected.
Water Resources Engineer/Scientific Programmer,"Fairfax, VA 22031",Dewberry,None,"These screenings will be conducted by Dewberry’s background vendor of choice and will be conducted in compliance with all applicable federal, state, and local…"
Water/Wastewater Engineer,"Des Moines, IA 50309 (Downtown area)",ISG,None,"The design incorporated stringent phosphorus and nitrogen limits in a stream loaded with BOD, FOG, TSS and dissolved solids."
Senior Research Engineer-Energy,"Tyndall AFB, FL 32403",Battelle,None,The Senior Research Scientist/Engineer will design and lead complex and innovative engineering research studies.
Water/Wastewater Engineer,"Des Moines, IA 50309 (Downtown area)",ISG,None,"The design incorporated stringent phosphorus and nitrogen limits in a stream loaded with BOD, FOG, TSS and dissolved solids."
Senior Research Engineer-Energy,"Tyndall AFB, FL 32403",Battelle,None,The Senior Research Scientist/Engineer will design and lead complex and innovative engineering research studies.
Environmental Microbiology and Data Science,"State University, AR",Association of Environmental Engineering and Scien...,"$55,000 a year","Obtain a Data Carpentry instructor certificate and develop modules for virtual workshops.Fluent with molecular biology techniques (e.g., DNA manipulation, PCR,…"
Research and Application Engineer,"San Diego, CA 92121 (Miramar area)",KING LEE TECHNOLOGIES,None,"Commitment to learn quickly and manage multiple, sometimes high pressure, tasks simultaneously.Design and manage pilot-scale and full-scale case studies, both…"
Staff Engineer I - Water Resources,"Cedar Rapids, IA 52404",HR Green,None,Communicate effectively and coordinate with project team members including but not limited to CAD designers and other engineers.
Engineer I/II – Water Resources Practice Area,"Woodridge, IL",V3 Companies,None,Water resources and storm water analysis modeling & design.Preparing floodplain/floodway calculations and design.Assisting in water resources permitting.
Environmental Project Engineer - 10+ Years Experience,"Arlington, VA","Langan Engineering and Environmental Services, Inc...",None,10+ years of related environmental experience;In-depth knowledge and understanding of local environmental regulations;
Environmental Coordinator,"West Elizabeth, PA 15088",Eastman,None,Work with operations to maintain environmental compliance.Train operations and maintenance personnel on environmental responsibilities.
 Environmental Specialist 2 - Air Quality Compliance,"Clearwater, FL 33756",Pinellas County Government,"$47,112 - $61,235 a year","The incumbent also handles planning, organizing, and conducting complex studies, evaluating environmental impact and initiating enforcement activities with…"
Stormwater Engineer,"Plano, TX 75093","Dowdey, Anderson, & Associates, inc.",$35 - $43 an hour,"Apply hydraulic and hydrologic modeling systems in urban stormwater management settings to support the planning and design of pipelines, open channels, channel…"
Principal Engineer,"New York, NY 10018 (Clinton area)",Hazen and Sawyer,None,"Plan, develop, coordinate, estimate schedule and manpower needs for environmental engineering projects for water/wastewater facilities; Assess water quality,…"
Environmental Engineering Specialist,"Dauphin County, PA",Commonwealth of PA,"$60,127 - $78,416 a year",Supervisors and human resource staff are available to help employees create a plan to develop skills for their current jobs or prepare for the next step in…
Longleaf - Environmental Specialist,"Sylvania, GA",Milliken and Company,None,Attend environmental training and corporate environmental meetings as necessary.Promote and continuously develop the company safety and environmental culture…
Supervising Engineer (Collection Systems),"Austin, TX 78702 (Rosewood area)",City of Austin,$42.50 - $56.31 an hour,"Experience in project management and project sponsorship, overseeing projects related to the design, construction, and rehabilitation of wastewater lines."
EHS Environmental Engineer,"Fremont, CA 94538",Lam Research,None,Identify and implement environmental programs to prevent environmental impacts.Participate in tool hook-up design reviews and tool signoffs.
Environmental Project Manager,"Baltimore, MD","US Ecology, Inc.",None,"You are confident in your ability to manage and train teams who respond to rail, truck, and other emergencies involving the removal of hazardous materials."
Environmental Compliance/Environmental Engineer,"East Windsor, NJ",Woodard & Curran,None,The selected candidate will report directly to Project and Client Managers in our national Environmental Services Practice and work with a diverse and talented…
Assistant Stormwater Engineer,"Elizabethtown, KY 42701",City of Elizabethtown,"$58,000 - $67,000 a year",Use computer aided design & drafting and stormwater modeling & design software.Use computer-based design software to perform civil engineering design and…
ENTRY LEVEL MUNICIPAL OR TRANSPORTATION ENGINEER,"Grand Rapids, MI","Spalding DeDecker Associates, Inc",None,"In this position, you will be part of different infrastructure projects including municipal plan review, infrastructure design, and road/transportation projects…"
Engineering Specialist 1,"Orlando, FL 32809",South Florida Water Management District,"$40,581 - $48,235 a year","Must demonstrate ability to communicate effectively with other engineering professionals, environmental scientists, attorneys, construction professionals,…"
Project Manager – Environmental Scientist/Geologist/Engineer,"Littleton, MA",GeoInsight,None,"Candidates for consideration should have 4 to 7 years of environmental consulting experience and at minimum a B.S. or B.A. degree in geology, environmental…"
Mid-Level Environmental Engineer/Scientist,"Huntsville, AL 35808","Mabbett and Associates, Inc",None,"The candidate must be capable of providing a broad spectrum of environmental support for Department of Defense (DoD) system testing, and facilities planning,…"
"Civil Engineer, Junior","San Francisco, CA 94102 (Downtown area)",Schaaf & Wheeler,None,"We're involved in a vast array of projects, including the analysis and design of water systems and/or components including computer modeling, design of pump…"
Water Resources Engineer,"Denver, CO 80204 (West Colfax area)",Olsson,"$75,000 - $99,000 a year","Olsson offers clients a full spectrum of water resources services, including planning, design, permitting, and construction phase services."
Interdisciplinary Architect/Engineer,"Mobile, AL",US Department of the Army,"$92,143 - $119,787 a year","In addition to meeting the basic requirement above, to qualify for this position you must also meet the Specialized Experience requirements listed below: 1)…"
Assistant Project Engineer,"Orlando, FL 32801 (Central Business District area)",Tetra Tech,None,"Draft engineering reports for senior engineers.Summarize, evaluate, and present field and laboratory data using computer worksheet programs including Microsoft…"
Manager Energy & Environmental,"Pasco, WA",Lamb Weston,None,Ensure all facility staff receive appropriate environmental training.Participate in environmental audit process at other facilities.
"Environment Protection Specialist, Junior","San Antonio, TX",Booz Allen Hamilton,None,"Experience in environmental science, environmental engineering, or project management.Experience with working independently and in a team conducting research…"
Water/Wastewater Engineer,"Denver, CO 80209 (Washington Park West area)",Dewberry,"$85,000 - $102,000 a year",Overall execution of design and production work.These screenings will be conducted by Dewberry’s background vendor of choice and will be conducted in…
Research Engineer III (step 3),"Huntsville, AL 35899 (University Park area)",The University of Alabama in Huntsville,"$94,171 - $96,000 a year",The position will carry out analyses of the water quantity availability and water quality relevant to examining the impacts of using water as an economic…
Water/Wastewater Engineer,"Denver, CO 80209 (Washington Park West area)",Dewberry,"$85,000 - $102,000 a year",Overall execution of design and production work.These screenings will be conducted by Dewberry’s background vendor of choice and will be conducted in…
Research Engineer III (step 3),"Huntsville, AL 35899 (University Park area)",The University of Alabama in Huntsville,"$94,171 - $96,000 a year",The position will carry out analyses of the water quantity availability and water quality relevant to examining the impacts of using water as an economic…
Senior Wastewater Engineer,"Bend, OR",Murraysmith,None,"Lead multi-disciplinary teams in planning, design, and construction for all sizes of wastewater treatment projects.Grow and guide mid- to junior-level staff."
Senior Water/Wastewater Engineer/Project Manager,"Bellevue, WA 98004 (Downtown area)",HDR,None,"Lead engineering/process design, project coordination, project management, determining and writing engineering specifications, planning work, establishing…"
Drainage Engineer II,"Seattle, WA",King County,$38.89 - $49.29 an hour,Perform field surveys to support roadway drainage system design and other roadway related design projects;Have an understanding of civil engineering and can…
Civil Engineer 2-Houston-Water Business Line,"Houston, TX 77027 (Afton Oaks - River Oaks Area area)",Black & Veatch Corporation,None,Basic knowledge of engineering design principles and applicable design guides and standards related to assigned engineering discipline.
Staff/Project Engineer or Scientist,"Houston, TX 77036 (Sharpstown area)",SLR Consulting,None,"Qualified candidates will have a Bachelor of Science degree in Chemical or Environmental Engineering, Environmental Science, or closely related scientific field…"
Stormwater Engineer,"Minneapolis, MN",HDR,None,"The individual should possess a municipal/design background for developing stormwater management and planning documents, interpreting models, and implementing…"
Site Environmental Leader,"Green Bay, WI 54229",Procter & Gamble,None,"Evaluating capital projects for environmental and sustainability effects, and participating in project design and delivery for improved results."
